**Hablante 1 (Hombre):** [inteligible] necesito que esté anunciando porque ella controla, pero la calidad del banco.

**Hablante 2 (Mujer):** Pero lo vamos a hacer. Y a usted, pues se sale y trabaja con normalidad porque él va a continuar grabando con [inteligible].

**Hablante 1 (Hombre):** ¿Me puedo conectar por...?ombre:** Te voy a conectar la computadora.

**Maestro/a:** [inentendible] No, no se me ve.

**Hombre:** Ahi está bien. A ver la pantalla, conecté el HDMI.

**Maestro/a:** Minimizame la sesión [inentendible] porque el foquito que poníamos aquí no está, ¿verdad?

**Hombre:** Y aquí tengo yo.

**Maestro/a:** Sigue grabando. [inentendible] no funciona. A ver a donde me pongo yo. Allá, va a estar solo usted al final.

**Hombre:** Lo único que no les graba lo que ellas proyectaban.

**Maestro/a:** Eh no, no, no. Solamente la clase.

**Estudiante 1:** Y póngale el artístico.

**Maestro/a:** Por el momento no puedo. Vaya, pero ya estoy en la plataforma.

**(Varios estudiantes hablando a la vez)**

**Maestra:** Voy a empezar. Venga usted. Voy a empezar. Ingrese usted también. Vamos a ingresar.

**(Varios estudiantes hablando a la vez)**

**Maestra:** ¿Tienen listo su cuaderno y su libro?

**Estudiante 2:** Sí.

**Maestra:** Vamos a pasar lista.

**(Varios estudiantes hablando a la vez)**

**Maestra:** Bueno… Cuando yo pase lista, los quiero a todos ya en la plataforma. Les pedí que no quiero estar mencionando ni llamando la atención a nadie. Estoy aquí ya lista.

**(Varios estudiantes hablando a la vez)**

**Maestra:** No perdamos tiempo. ¿Esténse quietos, por favor? Vamos a ver. Activado ya. Vamos a ver.

**(Varios estudiantes hablando a la vez)**

**Maestra:** Angeline, ingrese, hija linda.

**(Varios estudiantes hablando a la vez)**

**Maestra:** ¿No va a ingresar? Ya ingresé. Ah, ya va a ingresar usted, ya.

**(Varios estudiantes hablando a la vez)**

**Maestra:** Estemos, chicos, todavía no me aparecen activos acá.

**Estudiante 3:** Seño, no…

**(Varios estudiantes hablando a la vez)**

**Estudiante 4:** Seño, ya terminé la…

**Maestra:** Bueno. Ahí estamos ya. ¿Listos? Ya se pasó asistencia. Déjenme verificar que todos han ingresado.

**(Varios estudiantes hablando a la vez)**

**Estudiante 5:** Donde dice con Valeria…

**Estudiante 6:** Óscar.

**Estudiante 7:** Ya lo encontré.

**Estudiante 8:** No se puede cerrar.

**Maestra:** Óscar, creo que está conectado con el internet de cuando… cuando le dice eso es cuando usted está con el internet del celular.

**(Varios estudiantes hablando a la vez)**

**Maestra:** Seño, cabal. [Inaudible] el internet correcto, por favor.

**Estudiante 9:** ¿Dónde estamos en total? Sí, ¿dónde?

**Maestra:** La clase del día de ayer. Véanme ahí el contenido. ¿Qué estuvimos trabajando el día de ayer?

**Estudiante 10:** Lo de la noticia.

**Varios estudiantes:** Las fuentes de información directas e indirectas.

**Maestra:** En el cuaderno tiene un esquema que usted solito hizo. Y usted puso ahí, clasificó los dos tipos de fuentes que tenemos, ¿sí? ¿Alguien me recuerda cuál es la directa y cuál es la indirecta? En el esquema que tiene, ahí está clarito.

**Estudiante 11:** ¡Ah, sí!

**Estudiante 12:** Yo me acuerdo de la directa, sí.

**Maestra:** ¿Cuál es la directa?

**Estudiante 12:** Usted entrevista a alguien…

**Maestra:** A la persona que ha…

**Estudiante 12:** …que ha visto.

**Maestra:** …y la otra?

**Estudiante 12:** Que le cuentan.

**Maestra:** No es directamente que vio, pero que puedes conocer a alguien que sí estuvo presente. El que vio, ¿cómo le llamamos?

**Maestra:** Bien. Hoy vamos a llenar un instrumento muy similar, pero hoy es individual. O sea, cada uno su propia noticia. Yo les dije el día de ayer, ¿qué iban a hacer ustedes?

**Estudiantes:** Investigadores.

**Maestra:** Investigadores, ¿qué más?

**Estudiante 4:** Y hacer un reportero.

**Maestra:** Reportero. Hoy ustedes son los reporteros, los periodistas, los investigadores. Eso les dije yo ayer. Ustedes van a elaborar su propia noticia. Y por eso cada quien eligió un tema.

**Estudiante 5:** [inentendible]

**Maestra:** Guarden la cosa por favor. Así que, vamos, ya que, ya que recordamos que ahí nos sirve de recordatorio. Vamos a recordar viendo el tema que anotó en su libro. Vamos a ver su libro. Ahí lo tiene anotado su tema. Y vamos a activar la clase para hoy.

**Estudiante 6:** ¿La página 28?

**Estudiante 7:** Listo, señor.

**Maestra:** Vamos a su libro.

**(Sonido de estudiantes hablando)**

**Estudiante 8:** [inentendible] social [inentendible]

**Estudiante 9:** Buenos días niños.

**Estudiante 10:** ¿Cómo estamos en la clase usted? Estamos a 33.

**Maestra:** Esta fue la del día de ayer. Bien. Ayer les dije, puede escribir con lápiz o con lapicero por si cambia de opinión. Dice, ah, no. Pensándolo bien, voy a elegir otro tema, por decir algo. Sin embargo, ayer la mayoría eligió y lo escribió. Si ahora usted ha cambiado de opinión, incluso ya algunos ayer tuvieron el tiempo de empezar a investigar. Para investigar, una de las cosas que hemos dicho es que debe ser una fuente...

**Estudiantes:** Confiable.

**Maestra:** Ajá.

**Estudiantes:** Confiable.

**Maestra:** Confiable. O sea, no voy a ir a investigar en un lugar donde no esté muy segura que la información sea verdadera. Fuente confiable. Entonces, vamos a elegir fuentes confiables para investigar. No una. No una sola fuente. Podemos visitar más de un sitio para poder investigar el tema que elegí. ¿Alguien me puede o quiere compartirme su tema? Del libro, el que, el que escribió.

**Estudiante 11:** ¿Cuál es el animal más rápido?

**Maestra:** El animal más rápido investiga ella.

**Estudiante 12:** [inentendible] Jesús. El Dominic, ¿quién creó, quién creó el primer carro del mundo?

**Maestra:** El primer vehículo, ¿quién lo construyó? Buen, buen tema.

**Estudiante 13:** Minecraft.

**Estudiante 14:** Historia.

**Maestra:** La historia. Bien. Ahí lo tiene, usted puede elegir. ¿Se recuerdan que les dije ayer que algunos eran como muy amplios y que tenía que hacerlo más específico? Para que la información la pudiera manejar bien. Bueno. Entonces, ¿ya tenemos la fecha de hoy, chicos?

**Estudiantes:** ¡Sí, señor!

**Maestra:** Si no la ha puesto en su cuadernito, póngala, por favor.

**(Sonido de estudiantes hablando)**

**Estudiante 15:** [inentendible] que hoy íbamos a hacer el...

**Maestra:** ¿Ah? ¿Cómo es ahora bien?

**Estudiante 16:** [inentendible]

**Maestra:** No. No, el wiki es viernes.

**Estudiante 17:** ¡Ay, no!

**Maestra:** Les dije que esta semana terminamos la unidad, eso fue lo que le dije.

**Estudiante 18:** Yo quiero investigar [inentendible] el viernes.

**Estudiante 19:** Se me olvidó que era viernes.

**Maestra:** Trabajamos con el wiki desde casita.

**(Sonido de estudiantes hablando)**

**Maestra:** Bueno, vamos...¡Yo!

**Teacher:** Ajá, ¿Kevin?

**Male Student 3 (Kevin):** Redactamos el cuerpo de la noticia. Los datos obtenidos deben ordenarse, empezando por...

[1:32] **Maestra:** Algunos ayer les di, les dije que no me lo habían escrito. Espero que sí me lo hayan escrito. En su libro lo tienen y también les pedí que lo pusieran en su cuaderno. Así que lo tienen en ambos. Si ya me dieron copia... lo que vamos a investigar. Supóngase que... yo quiero investigar sobre, eh... por ahí alguien decía de dinosaurios. El Marcos es de dinosaurios. Y supóngase, Marcos, el tuyo es como ¿qué? ¿el más grande que existe o cuál?

[1:53] **Estudiante 3:** Depredadores.

[1:54] **Maestra:** El depredador, bien. Pero supongo que yo pongo... Megalodon, que es un dinosaurio.

[1:57] **Estudiantes:** ¡Ah, seño!

[1:58] **Maestra:** Me voy a imágenes. ¡Ay, varios dinosaurios! Vaya, vean. Vean, yo aquí ando buscando...

[2:03] **Estudiante 1:** [audio inentendible] grande...

[2:03] **Maestra:** Eso es lo que va a hacer usted, buscar imágenes.

[2:05] **Estudiante 1:** La que yo quiera, seño.

[2:06] **Maestra:** La de su noticia. Una imagen relacionada a su noticia. Ahora usted vaya a una pestaña, en el buscador ponga el tema de qué trata su noticia y vamos a imágenes, porque vamos a copiar y pegar una imagen. Si la imagen es muy pesada, el sistema le va a decir que es muy pesada la imagen. Hay que elegir otra. Hay que seguir eligiendo hasta que nos deje pegar una imagen... una imagen que sí, que sí nos sirva. Bien, voy a desbloquear ya la pantalla para que podamos pegar la imagen. Todos están... ¿de qué... cuál es su tema? Y ya encontró imágenes. Ahí tiene varias. Vamos a elegir una... ahorita vamos a pegar una imagen en la plataforma. Eso es lo que estamos buscando.

[2:50] **Estudiante 1:** Entonces aquí me...

[2:51] **Maestra:** Entonces, abra una pestaña, eh busca una imagen del tema...

[2:55] **Estudiante 1:** Ya sé qué elegir, seño.

[2:56] **Maestra:** Vamos a ver. Yo voy a decir... si yo elijo esta y le doy copiar imagen, miren. Copiar imagen. Clic derecho en el pad, en el pad de la computadora... para que aparezca el menú y podamos copiar la imagen.

[3:11] **Estudiante 1:** ¡Ay, María, ya se me va a apagar!

[3:13] **Maestra:** Eh, eso es un ejemplo. [audio inentendible]

**Estudiante 6:** No.

**Estudiante 7:** No.

**Estudiante 8:** Sí o no.

**Todos:** Sí.

[00:23]

**Maestra:** El menú, copiar imagen.

**Estudiante 9:** Ya tú, seño, ya. [inaudible].

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 10:** Señor, mira.

[00:30]

**Maestra:** Copiar imagen, ¿ya?

**Estudiante 11:** Señor, es que a mí no me aparece el menú.

**Maestra:** Si no le aparece el menú, [inaudible] después se va a la plataforma [inaudible].

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 12:** Señor, [inaudible].

**Estudiante 13:** Es que no se ha descargado.

**Estudiante 14:** Es con visita, sabe, que está haciendo.

**Varios Estudiantes:** (Conversaciones superpuestas)

[00:44]

**Maestra:** Ya le dio copiar [inaudible].

**Estudiante 15:** [grita] ¡Señor!

**Maestra:** ¿Hay alguien que no le acepte el menú? Ahí está cerquita de su compañero para que le ayude a entrar.

**Varios Estudiantes:** (Conversaciones superpuestas)

**Maestra:** Copiar imagen. Regresar a [inaudible] y lo mismo, la opción de pegar.

**Estudiante 16:** Señor.

[00:57]

**Varios Estudiantes:** (Conversaciones superpuestas)

**Maestra:** Ahí me aparece la imagen que elegí. [inaudible] Control V.

**Varios Estudiantes:** (Conversaciones superpuestas)

**Maestra:** Lo mismo, vuelve a desplegar el menú y darle pegar.

**Estudiante 17:** Señor, ¿cómo puedo [inaudible]? Es que yo no puedo.

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 18:** Es para la de mi hermana.

**Maestra:** Se dejan pegar.

**Estudiante 19:** Señor, no me deja.

**Maestra:** Cuando usted elige una imagen, no todas las imágenes se dejan copiar, algunas tienen derechos [inaudible].

**Estudiante 20:** Ahora eso se ve en los menús [inaudible].

**Varios Estudiantes:** (Conversaciones superpuestas)

[1:33]

**Maestra:** ¿Cuál es? A ver, permítame. El que iba a citar, ahí lo tiene [inaudible].

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 21:** Señor, ya lo pegué.

**Maestra:** Sí, mi niño.

**Estudiante 22:** Ahora ya está buscando [inaudible].

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 23:** Ey, pasá copia.

**Estudiante 24:** ¿Cómo se llama este?

**Estudiante 25:** Es un deportivo.

**Estudiante 26:** Señor, no se puede pegar la imagen [inaudible].

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 27:** ¡Ah, el dinosaurio!

**Varios Estudiantes:** (Conversaciones superpuestas)

**Estudiante 28:** Ey, Mike, pasá [inaudible].

**Estudiante 29:** La Champions, la Champions.

**Varios Estudiantes:** (Conversaciones superpuestas)

[2:09]

**Maestra:** Bien, ya varios pegaron su imagen. Ya [inaudible]. No se preocupe si la imagen…¡Imagen lleva tilde!

**Estudiante 11:** Rápido lleva tilde.

**Estudiante 10:** Ah, gracias.

**Maestra:** Si el sistema les marca rojito es porque esa palabra no... El título debe iniciar con mayúscula. No olvide eso.

**Estudiante 12:** ¿Cuál querés?

[TODOS HABLAN AL MISMO TIEMPO]les he enviado uno. Cada uno ha recibido una copia para que lo edifique en su computadora. Y ahí la ventaja que tenemos es de que también nos corrige y nos da la opción de cómo corregir nuestros textos.

**Estudiante 5:** Aquí está.

**Maestra:** Eh… es lo mismo que esto que hicimos.

**Estudiante 6:** Seño, [Inentendible].

**Maestra:** Exactamente. Les voy a mostrar el esquema. Está en Classroom y ahí lo va a encontrar, excelente. Váyanlo abriendo. Váyanlo abriendo, ahí está abriendo en documentos de Google, no lo olvide.

**Estudiante 7:** Seño, ya lo empecé a hacer.

**Maestra:** Hasta el título déjelo ahí. Bien.

**Varios estudiantes:** [Inentendible]

**Maestra:** [Inentendible] a ver cuál es la palabra…

**Varios estudiantes:** [Inentendible]

**Maestra:** Novedades, lo primero que le aparece ahí. La primera que le sale en Novedades.

**Estudiante 8:** Seño, ¿puedo copiar lo que dije?

**Maestra:** Así, cópielo para escribirlo, sí.

**Varios estudiantes:** [Inentendible]

**Maestra:** ...ahí, no se salga porque vamos a regresar a la plataforma en seguida.

**Estudiante 9:** Ya lo terminé [Inentendible].

**Maestra:** Bien, perfecto. Revisen, revisen.

**Varios estudiantes:** [Inentendible]

**Maestra:** Inglés, Sociales, la nueva... lo primero que encuentre, está ahí. Allá está [Inentendible]. Excelente.

**Varios estudiantes:** [Inentendible]tenemos nuestro diario que se va a llamar Diario Digital o [inaudible]. Ahí está, miren. Porque nuestra noticia, cuando va a ser impresa...

**Estudiante 4:** Seño, ya hice el cuerpo, es la entradita.

**Maestra:** Vale. ¿Qué vamos a hacer aquí? ¿Ya todos escribieron el título?

**Estudiantes:** Sí. No.

**Maestra:** Donde dice título, yo le doy clic y le borro esta palabra. Bórrenle esa palabra.

**Estudiante 5:** Ahí está.

**Maestra:** Y usted escriba su título.

**Estudiante 6:** ¡Tuvo!

**Maestra:** O ya lo escribí. Pero como tiene que ser, los que pegaron las noticias y trajeron la tarea vieron que la noticia la ponen en letras bien...

**Estudiantes:** ¡Grandes!

**Maestra:** Grandes. Porque lo que quiere es llamar la atención. Bien, entonces vamos a cambiar esa letra. Vamos a cambiar esa letra, la marcamos. Todo eso lo han hecho ya con el profe Elio. Lo marcamos. Aquí, miren, ¿ve ahí? ¿Ve ahí? Ya llego y está, aquí, lo voy agrandando, más, más, más, más, más para que mi nombre quede grande y bonito. Le puedo poner un color brillante, sí, aquí. Aquí le cambio el tipo de letra para que me quede diferente.

**Estudiantes:** [Murmullos inentendibles]

**Maestra:** ...que es bastante la noticia. Le puedo cambiar el color también.

**Estudiante 7:** Seño, pero no me sale el link.

**Estudiante 8:** Seño, no me sale el link.

**Maestra:** Ya llego y vea... esto. Empecemos por hacer el título así. La primera que encuentre.

**Estudiante 9:** Seño, listo.

**Estudiante 10:** Seño, no puedo escribir.

**Maestra:** La noticia debe ser en letra grande e impactante. Dígame... déjame la frase. "Haber visto" con H y V.

**Estudiante 11:** [inaudible] no, ya no puedo, no.

**Estudiante 12:** Ya tenemos que ingresar a este documento.

**Maestra:** Sí, pero necesito que avance en esto, no en el cuaderno ahorita. El cuaderno va a ser de último. Por el momento vamos a pasar al otro archivo.

**Estudiantes:** [Murmullos inentendibles]

**Maestra:** ...dejemos la plática.

**Estudiante 13:** ¡Señor!

**Maestra:** Esto muy bien, todavía. Aquí no me va a hacer eso, eso lo va a hacer en el documento que le estoy mostrando allá. [inaudible] está ayudándome a mí.

**Estudiantes:** [Murmullos y charlas inentendibles]

**Maestra:** ...la base y el... [inaudible]. ¿De qué? [inaudible]. Hay una ventaja trabajar con documentos de Google. Si usted escribe algo mal... y cuando usted le dé clic, le va a señalar la palabra como debe ser correctamente. Así que ahí podemos autocorregir.vamos, chicos?

**ALUMNO 7:** ¡Alerta!

**ALUMNOS:** [hablan todos al mismo tiempo]

**MAESTRA:** Para recuperar algo, nos vamos para atrás, mire.

**ALUMNO 8:** Para atrás, sí.

**MAESTRA:** Para atrás.

**ALUMNO 9:** Trasládeme, no me traslade.voy.

**Varios estudiantes:** (Hablando al mismo tiempo) [audio ininteligible]qué rico!

**Estudiante:** Mira, ¡qué rico!

**Estudiante:** ¿Alguien más?

**Varios estudiantes:** [Hablando al mismo tiempo, ininteligible]

**Estudiante:** …toda blanquita.

**Estudiante:** Así que… [ininteligible]

**Estudiante:** [ininteligible] toda blanquita, no trabaja en…

**Estudiante:** ¿Terminó ya? Ya voy a llegar al que me falta.

**Varios estudiantes:** [Hablando al mismo tiempo, ininteligible]

**Maestra:** Bien. Nos quedamos ahorita hasta ahí con el documento porque el tiempo… el tiempo ya se nos fue. El tiempo ya se nos fue. 2:** Eh, eso, ¿se guarda?

**Maestra:** Bien, completemos aquí.

**Todos:** [murmullos y conversaciones superpuestas]

**Maestra:** Completamos la plataforma. Entramos a plataforma, regresamos y completamos. En plataforma.

**Todos:** [murmullos y conversaciones superpuestas]

**Maestra:** Vamos a la plataforma y completamos. Como ya lo tiene en el documento, ya están copiados de dónde es la noticia.

**Estudiante 3:** Pero, seño [inentendible].

**Maestra:** Ahora volvamos.

**Estudiante 4:** ¿Y eso, seño?

**Maestra:** Volvamos a la plataforma.

**Todos:** [murmullos y conversaciones superpuestas] ¡Seño!

**Maestra:** Volvamos a la plataforma. Volvamos [inentendible].

**Todos:** [gritos y risas]

**Estudiante 5:** ¡Seño! ¡Mire, no me funciona!

**Estudiante 6:** Seño, en la plataforma, la plataforma, seño.

**Estudiante 7:** ¡Seño, mire el mío!

**Estudiante 8:** ¡Seño, venga, venga!

**Todos:** [murmullos, gritos y risas]

**Estudiante 9:** Dominic, vení.

**Todos:** [murmullos]

**Maestra:** Bien, vamos bien. Ya tienen la información. Ya solo se trata de regresar a la plataforma y completar. Los que no lo pudieron [inentendible].

**Todos:** [murmullos y conversaciones superpuestas]

**Maestra:** Eh, en la, en la plataforma... tiene que transcribir la información del documento... la información más básica, lo más elemental de su noticia, excelente. Y cuando termine, le damos a enviar.

**Estudiante 10:** ¡Seño, ya terminé!

**Estudiante 11:** ¡Bien!

**Estudiante 12:** ¡Seño, yo también!

**Maestra:** Ya le envió.

**Todos:** [murmullos y conversaciones superpuestas]

**Estudiante 13:** Cierto. El, el... ¿cómo se llama? El que está, este, ha sido... ha sido político, ordenado [inentendible].

**Todos:** [murmullos y conversaciones superpuestas] ¡Yo terminé!

**Estudiante 14:** ¿Ya lo envió?

**Todos:** ¡Ya!

**Maestra:** Vaya, vaya, vaya. Excelente.

**Todos:** [murmullos y conversaciones superpuestas]

**Maestra:** Estamos al cien.

**Estudiante 15:** Estamos al cien, vaya.

**Maestra:** Estamos al cien.
